"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8620","User login flow happy path scenario works as expected","Test conatining user login flow","Wed Sep 03 19:47:08 AEST 2025","passed","Wed Sep 03 19:47:17 AEST 2025","","","",""
"","6158","User registration flow happy path scenario works as expected","Test conatining user registration flow","Wed Sep 03 19:47:23 AEST 2025","passed","Wed Sep 03 19:47:29 AEST 2025","","","",""
